"id","interviewdate","comscore_raw","comscore","pop_groups","Quintile","type","lat","lon","living_conditions_score","living_conditions_category"
1397,"2023-12-12",0.00763608536597993,27.2319516302113,"Refugee returnees","Fourth","rms",9.5905048,29.6246555,4,"Good"
1399,"2023-12-12",0.0254228836458961,34.6955519435838,"Refugee returnees","Richest","rms",9.5908059,29.622724,0,"Poor"
1400,"2023-12-12",-0.029366366637073,11.7051823927496,"Refugee returnees","Second","rms",9.5906275,29.6239557,3,"Good"
1402,"2023-12-12",0.00354648687434934,25.5158963793814,"Refugee returnees","Fourth","rms",9.5907837,29.6229884,1,"Poor"
1403,"2023-12-12",0.0412223077613062,41.3252210342841,"Refugee returnees","Richest","rms",9.5908677,29.6235355,2,"Good"
1405,"2023-12-12",0.00763608536597993,27.2319516302113,"Refugee returnees","Fourth","rms",9.5911761,29.6235618,4,"Good"
1407,"2023-12-12",0.00763608536597993,27.2319516302113,"Refugee returnees","Fourth","rms",9.5909746,29.6233395,4,"Good"
1409,"2023-12-11",0.0269532318515962,35.3377083996184,"IDPs","Richest","rms",9.251149,29.8308918,0,"Poor"
1410,"2023-12-12",0.0412223077613062,41.3252210342841,"Refugee returnees","Richest","rms",9.5910967,29.6230569,2,"Good"
1412,"2023-12-11",0.0269532318515962,35.3377083996184,"IDPs","Richest","rms",9.2512439,29.8309009,0,"Poor"
1413,"2023-12-13",-0.0376033972067899,8.24880407362203,"Refugee returnees","Second","rms",9.5897223,29.6217857,4,"Good"
1414,"2023-12-13",-0.029366366637073,11.7051823927496,"Refugee returnees","Second","rms",9.5895566,29.621813,3,"Good"
1415,"2023-12-11",-0.00661038122185753,21.2539261971857,"IDPs","Middle","rms",9.2504618,29.8316155,0,"Poor"
1417,"2023-12-11",0.0269532318515962,35.3377083996184,"IDPs","Richest","rms",9.2514221,29.8308593,0,"Poor"
1418,"2023-12-13",-0.0376033972067899,8.24880407362203,"Refugee returnees","Second","rms",9.5897223,29.6219018,4,"Good"
1419,"2023-12-11",0.0269532318515962,35.3377083996184,"IDPs","Richest","rms",9.2515177,29.8307796,0,"Poor"
1421,"2023-12-13",-0.029366366637073,11.7051823927496,"IDPs","Second","rms",9.5897209,29.6217822,3,"Good"
1422,"2023-12-11",0.0269532318515962,35.3377083996184,"IDPs","Richest","rms",9.2515732,29.830632,0,"Poor"
1423,"2023-12-13",-0.0376033972067899,8.24880407362203,"Refugee returnees","Second","rms",9.58968,29.6219113,4,"Good"
1424,"2023-12-12",0.0134152547553366,29.6569755039086,"Refugee returnees","Fourth","rms",9.5904027,29.624293,1,"Poor"
1425,"2023-12-13",-0.0376033972067899,8.24880407362203,"Refugee returnees","Second","rms",9.5897053,29.6220368,4,"Good"
1427,"2023-12-12",-0.0131453636747142,18.5117521242892,"Refugee returnees","Middle","rms",9.5904639,29.6244006,1,"Poor"
1428,"2023-12-12",-0.00864664434735337,20.3994804525167,"Refugee returnees","Middle","rms",9.5904415,29.6245579,0,"Poor"
1430,"2023-12-12",0.0245494759143049,34.3290573043228,"Refugee returnees","Richest","rms",9.5918908,29.6214491,0,"Poor"
1432,"2023-12-12",0.00426567897192816,25.8176798864741,"Refugee returnees","Fourth","rms",9.5902208,29.6222447,0,"Poor"
1434,"2023-12-12",-0.0131453636747142,18.5117521242892,"Refugee returnees","Middle","rms",9.590431,29.6222789,1,"Poor"
1435,"2023-12-13",0.0269532318515962,35.3377083996184,"Refugee returnees","Richest","rms",9.5871781,29.6241123,0,"Poor"
1436,"2023-12-13",0.00763608536597993,27.2319516302113,"Refugee returnees","Fourth","rms",9.5900477,29.6219408,4,"Good"
1437,"2023-12-13",0.0269532318515962,35.3377083996184,"Refugee returnees","Richest","rms",9.5881159,29.6231451,0,"Poor"
1438,"2023-12-13",0.0269532318515962,35.3377083996184,"IDPs","Richest","rms",9.5879114,29.6228278,0,"Poor"
1439,"2023-12-12",-0.00490833310499726,21.9681304434168,"Refugee returnees","Middle","rms",9.5904071,29.6222893,0,"Poor"
1440,"2023-12-13",0.0269532318515962,35.3377083996184,"Refugee returnees","Richest","rms",9.5860198,29.6234611,0,"Poor"
1443,"2023-12-13",0.0187162012818793,31.8813300804908,"IDPs","Fourth","rms",9.5882815,29.6235636,1,"Poor"
1444,"2023-12-13",0.0269532318515962,35.3377083996184,"Refugee returnees","Richest","rms",9.588166,29.6231761,0,"Poor"
1445,"2023-12-13",0.0269532318515962,35.3377083996184,"IDPs","Richest","rms",9.587871,29.6231378,0,"Poor"
1453,"2023-12-11",-0.0148474117915745,17.7975478780581,"IDPs","Middle","rms",9.2505645,29.831315,1,"Poor"
1454,"2023-12-11",-0.00661038122185753,21.2539261971857,"IDPs","Middle","rms",9.2506952,29.8313036,0,"Poor"
1455,"2023-12-11",-0.00923720981968845,20.1516705558157,"IDPs","Middle","rms",9.2514529,29.8312946,0,"Poor"
1457,"2023-12-11",-0.00490833310499726,21.9681304434168,"IDPs","Middle","rms",9.2516314,29.8312399,0,"Poor"
1458,"2023-12-12",-0.0148474117915745,17.7975478780581,"Refugee returnees","Middle","rms",9.5893704,29.624557,1,"Poor"
1459,"2023-12-13",-0.0482055478138276,3.79998684705804,"IDPs","Poorest","rms",9.9530575,33.7171071,2,"Good"
1460,"2023-12-13",-0.0525568548659684,1.97411486229459,"IDPs","Poorest","rms",9.9527893,33.7159928,2,"Good"
1461,"2023-12-13",-0.0482055478138276,3.79998684705804,"IDPs","Poorest","rms",9.9526856,33.7159815,2,"Good"
1462,"2023-12-13",-0.00958292285521671,20.0066043173787,"IDPs","Middle","rms",6.0532643,31.4965615,1,"Poor"
1464,"2023-12-13",-0.00958292285521671,20.0066043173787,"IDPs","Middle","rms",6.0542799,31.4960141,1,"Poor"
1465,"2023-12-13",-0.00958292285521671,20.0066043173787,"IDPs","Middle","rms",6.0537399,31.495479,1,"Poor"
1466,"2023-12-13",0.0732205861044922,54.7521659240369,"IDPs","Richest","rms",6.0503321,31.4979218,0,"Poor"
1467,"2023-12-13",-0.0386145467427998,7.82451096167105,"IDPs","Second","rms",6.0548133,31.4953333,1,"Poor"
1468,"2023-12-13",-0.00831006475869666,20.5407141632633,"IDPs","Middle","rms",6.0549716,31.4950033,1,"Poor"
1469,"2023-12-13",-0.00977595121928708,19.9256067968642,"IDPs","Middle","rms",6.0475934,31.5047035,0,"Poor"
1470,"2023-12-13",-0.0404805932739179,7.0414905858147,"IDPs","Second","rms",6.0530556,31.4956234,2,"Good"
1471,"2023-12-13",0.0171768894190956,31.2354123430403,"IDPs","Fourth","rms",6.0475934,31.5047035,0,"Poor"
1474,"2023-12-13",-0.0480581355386076,3.86184319052206,"IDPs","Poorest","rms",6.0532445,31.4958406,1,"Poor"
1475,"2023-12-13",-0.032243562704201,10.4978689049423,"IDPs","Second","rms",6.0533793,31.4958417,1,"Poor"
1476,"2023-12-13",-0.00324778372554351,22.6649212133923,"IDPs","Fourth","rms",6.0549236,31.4960851,0,"Poor"
1477,"2023-12-13",-0.0380844338799404,8.04695406059729,"IDPs","Second","rms",6.054451,31.4963044,2,"Good"
1478,"2023-12-13",-0.0164540014305597,17.1233994032013,"IDPs","Middle","rms",6.0546162,31.4960117,0,"Poor"
