"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source"
1890,"2023-12-14","Refugee returnees",6.8051376,33.1271507,5.78151329972165,"Poorest","rms"
1891,"2023-12-14","Refugee returnees",6.8030222,33.1271933,11.1075612404916,"Second","rms"
1892,"2023-12-14","Refugee returnees",6.8032176,33.127343,3.5668966319157,"Poorest","rms"
1893,"2023-12-14","Refugee returnees",6.8029744,33.1283028,11.1075612404916,"Second","rms"
1897,"2023-12-11","IDPs",6.792692,33.1245866,12.4414743850008,"Second","rms"
1898,"2023-12-11","IDPs",6.7930261,33.1259066,7.01679224602536,"Second","rms"
1903,"2023-12-12","Refugee returnees",6.7942129,33.131461,3.56041392689776,"Poorest","rms"
1904,"2023-12-12","IDPs",6.7949155,33.1313295,3.56041392689776,"Poorest","rms"
1905,"2023-12-12","Refugee returnees",6.7937123,33.1258257,3.56041392689776,"Poorest","rms"
1906,"2023-12-12","IDPs",6.7952139,33.1324225,7.01679224602536,"Second","rms"
1907,"2023-12-12","Refugee returnees",6.7942888,33.1310122,8.59192494194344,"Second","rms"
1908,"2023-12-13","Refugee returnees",6.7934139,33.1319225,7.01679224602536,"Second","rms"
1909,"2023-12-13","IDPs",6.7922685,33.1319326,8.59192494194344,"Second","rms"
1910,"2023-12-13","Refugee returnees",6.7920896,33.1331006,8.59192494194344,"Second","rms"
1911,"2023-12-13","Refugee returnees",6.7919825,33.1325756,24.8948253575471,"Fourth","rms"
1912,"2023-12-13","Refugee returnees",6.7916834,33.1349537,19.4701432185717,"Middle","rms"
1913,"2023-12-13","Refugee returnees",6.7917306,33.1359085,6.61781007964885,"Poorest","rms"
1914,"2023-12-13","Refugee returnees",6.790041,33.1345407,6.61781007964885,"Poorest","rms"
1915,"2023-12-13","Refugee returnees",6.7927096,33.1358536,10.4673595227062,"Second","rms"
1916,"2023-12-14","Refugee returnees",6.7929809,33.1349979,19.0711610521952,"Middle","rms"
1917,"2023-12-14","Refugee returnees",6.8044223,33.127901,21.0452759144898,"Middle","rms"
1918,"2023-12-14","Refugee returnees",6.8051215,33.1269447,6.61781007964885,"Poorest","rms"
1919,"2023-12-14","IDPs",6.8053842,33.1271143,1.58629906460317,"Poorest","rms"
1920,"2023-12-14","Refugee returnees",6.8057075,33.1275515,22.9207104952525,"Fourth","rms"
