"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source","living_conditions_score","living_conditions_category"
373,"2023-06-26","refugee",4.5725535,28.3830982,42.3362651979232,"Richest","fds",3,"Good"
374,"2023-05-31","refugee",9.9642963,30.2734384,0.772161084201544,"Poorest","fds",2,"Good"
375,"2023-07-24","host community member",9.9595318,33.7234508,31.3320168517227,"Fourth","fds",1,"Poor"
376,"2023-07-29","refugee",9.905379,30.3544518,14.0087090038856,"Second","fds",3,"Good"
377,"2023-06-01","refugee",9.9798145,33.5851717,38.1763454110502,"Richest","fds",3,"Good"
378,"2023-04-29","host community member",9.9274996,30.285352,0,"Poorest","fds",2,"Good"
379,"2023-08-01","refugee",9.9065462,30.3504213,14.0087090038856,"Second","fds",3,"Good"
380,"2023-06-09","host community member",9.9388392,29.9637534,0,"Poorest","fds",2,"Good"
381,"2023-04-25","host community member",9.937192,30.2894587,6.40220429494466,"Poorest","fds",3,"Good"
382,"2023-05-18","refugee",4.7512878,28.702057,48.8616955673935,"Richest","fds",3,"Good"
383,"2023-09-02","host community member",9.9615071,33.7223991,5.81413558018919,"Poorest","fds",2,"Good"
384,"2023-08-18","refugee",5.0680062,27.4748943,29.5360185724178,"Fourth","fds",0,"Poor"
385,"2023-09-19","refugee",9.908503,30.3736386,15.4394551101834,"Middle","fds",3,"Good"
386,"2023-05-08","refugee",4.7495794,28.6964973,14.9290620716405,"Middle","fds",1,"Poor"
387,"2023-09-29","refugee",5.3962147,27.2610107,19.6711814691029,"Middle","fds",0,"Poor"
388,"2023-08-31","refugee",4.9505764,27.7275838,21.6963047038713,"Middle","fds",1,"Poor"
389,"2023-07-06","refugee",9.9083675,30.3664806,17.3268442231775,"Middle","fds",4,"Good"
390,"2023-06-07","host community member",9.9602164,33.7223994,32.6922466506797,"Richest","fds",2,"Good"
391,"2023-04-24","host community member",9.9452055,33.8978607,52.0939246371427,"Richest","fds",0,"Poor"
392,"2023-07-22","refugee",9.903097,30.3488998,30.6339018360029,"Fourth","fds",3,"Good"
393,"2023-07-01","host community member",10.1432172,33.2307053,17.8465257097375,"Middle","fds",1,"Poor"
394,"2023-04-18","refugee",7.1720295,34.0998083,17.0945677780803,"Middle","fds",2,"Good"
395,"2023-07-14","refugee",9.9618942,33.5706929,21.6721163136595,"Middle","fds",4,"Good"
396,"2023-05-17","refugee",9.991403,33.7368081,17.4821978087991,"Middle","fds",2,"Good"
